Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,90.6,92.5,89.5,89.85,1773735
2022-07-06T00:00:00+05:30,90.0,93.05,89.0,92.45,1794342
2022-07-07T00:00:00+05:30,93.15,93.65,91.8,93.25,1582171
2022-07-08T00:00:00+05:30,94.15,94.15,91.8,92.4,1230094
2022-07-11T00:00:00+05:30,92.4,95.0,91.9,94.7,2290411
2022-07-12T00:00:00+05:30,94.0,95.5,92.85,93.2,2190667
2022-07-13T00:00:00+05:30,93.95,94.15,92.15,92.6,1049887
2022-07-14T00:00:00+05:30,92.9,93.25,90.25,91.35,1449219
2022-07-15T00:00:00+05:30,91.9,92.4,90.7,92.2,922873
2022-07-18T00:00:00+05:30,92.95,95.7,92.55,95.2,2037317
2022-07-19T00:00:00+05:30,95.25,96.0,93.75,95.55,1675719
2022-07-20T00:00:00+05:30,96.4,96.65,95.4,96.0,1990758
2022-07-21T00:00:00+05:30,96.65,101.0,96.15,100.0,4497858
2022-07-22T00:00:00+05:30,101.0,105.0,100.6,103.7,8707888
2022-07-25T00:00:00+05:30,104.0,104.55,102.0,102.5,2137982
2022-07-26T00:00:00+05:30,102.8,103.25,102.0,102.55,1887530
2022-07-27T00:00:00+05:30,101.7,103.5,101.65,103.1,2493533
2022-07-28T00:00:00+05:30,103.9,104.25,102.5,103.5,4085166
2022-07-29T00:00:00+05:30,104.2,107.2,103.85,106.35,7453692
2022-08-01T00:00:00+05:30,107.05,108.7,105.7,107.8,4194167
2022-08-02T00:00:00+05:30,107.0,108.55,106.05,107.45,2684788
2022-08-03T00:00:00+05:30,107.8,109.6,105.0,106.15,8349226
2022-08-04T00:00:00+05:30,109.5,109.5,103.3,105.15,6784936
2022-08-05T00:00:00+05:30,105.8,106.25,104.6,105.15,2126415
2022-08-08T00:00:00+05:30,105.15,107.45,104.5,106.8,2289462
2022-08-10T00:00:00+05:30,106.75,107.05,105.3,105.6,1245993
2022-08-11T00:00:00+05:30,106.4,109.0,106.05,108.8,4256780
2022-08-12T00:00:00+05:30,110.6,112.5,109.5,110.85,10313885
