Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,617.45,630.0,617.45,624.3,874045
2022-07-06T00:00:00+05:30,651.0,661.8,628.15,650.45,8539454
2022-07-07T00:00:00+05:30,653.95,663.75,646.0,653.05,1339561
2022-07-08T00:00:00+05:30,655.0,665.75,651.25,656.6,1073320
2022-07-11T00:00:00+05:30,656.65,668.35,653.05,660.45,813020
2022-07-12T00:00:00+05:30,659.0,682.0,652.4,673.8,2714915
2022-07-13T00:00:00+05:30,679.7,684.55,667.05,673.35,2381834
2022-07-14T00:00:00+05:30,672.4,680.55,666.8,674.25,672625
2022-07-15T00:00:00+05:30,670.35,686.4,668.25,684.1,1645634
2022-07-18T00:00:00+05:30,684.0,684.0,666.4,671.0,2560666
2022-07-19T00:00:00+05:30,670.7,681.2,669.7,673.65,1653580
2022-07-20T00:00:00+05:30,676.0,680.0,672.0,673.55,652175
2022-07-21T00:00:00+05:30,674.65,685.5,672.55,681.25,1073493
2022-07-22T00:00:00+05:30,682.5,687.0,670.0,675.2,772520
2022-07-25T00:00:00+05:30,677.0,677.0,662.65,671.5,1033335
2022-07-26T00:00:00+05:30,669.8,669.8,663.2,666.4,588700
2022-07-27T00:00:00+05:30,669.25,683.45,663.05,681.15,643997
2022-07-28T00:00:00+05:30,681.15,694.8,680.0,686.05,1218671
2022-07-29T00:00:00+05:30,690.6,714.65,688.05,712.75,2506702
2022-08-01T00:00:00+05:30,712.75,720.0,706.25,710.15,1249390
2022-08-02T00:00:00+05:30,711.05,734.0,701.55,726.3,1807316
2022-08-03T00:00:00+05:30,720.0,727.9,691.05,699.4,1251903
2022-08-04T00:00:00+05:30,700.5,702.0,673.65,679.45,1458449
2022-08-05T00:00:00+05:30,692.0,701.2,684.0,685.9,2385738
2022-08-08T00:00:00+05:30,685.0,699.95,666.6,696.4,2072460
2022-08-10T00:00:00+05:30,694.0,699.9,681.5,690.45,827421
2022-08-11T00:00:00+05:30,699.65,705.95,693.85,699.65,1773735
2022-08-12T00:00:00+05:30,703.8,708.8,698.8,700.15,842801
2022-08-16T00:00:00+05:30,705.0,724.35,697.05,718.9,1601261
2022-08-17T00:00:00+05:30,720.0,726.35,703.55,705.9,1654958
2022-08-18T00:00:00+05:30,707.6,712.3,699.1,703.9,592626
2022-08-19T00:00:00+05:30,706.0,706.65,680.5,683.45,962672
2022-08-22T00:00:00+05:30,683.35,685.8,669.05,670.15,782278
2022-08-23T00:00:00+05:30,662.1,679.05,657.55,676.5,939249
2022-08-24T00:00:00+05:30,678.0,692.0,673.95,688.75,794158
2022-08-25T00:00:00+05:30,694.4,711.9,690.5,700.8,1402440
2022-08-26T00:00:00+05:30,703.0,719.8,701.05,712.65,1329341
2022-08-29T00:00:00+05:30,690.05,705.85,686.9,688.4,1150065
2022-08-30T00:00:00+05:30,694.0,699.0,686.25,696.55,1036899
2022-09-01T00:00:00+05:30,693.9,704.0,690.05,692.75,1068682
2022-09-02T00:00:00+05:30,690.0,696.2,672.1,674.35,1818523
2022-09-05T00:00:00+05:30,671.0,677.9,663.0,669.15,2179368
2022-09-06T00:00:00+05:30,671.0,675.0,667.2,669.35,692238
2022-09-07T00:00:00+05:30,668.0,766.7,660.55,726.55,21571575
2022-09-08T00:00:00+05:30,734.95,747.0,716.6,732.25,10394490
2022-09-09T00:00:00+05:30,732.0,772.0,726.05,752.7,6416237
2022-09-12T00:00:00+05:30,753.0,771.0,753.0,764.85,3718746
2022-09-13T00:00:00+05:30,764.85,782.0,762.85,770.4,2864559
2022-09-14T00:00:00+05:30,753.0,781.0,753.0,768.25,3396159
2022-09-15T00:00:00+05:30,770.0,773.25,756.35,763.55,1514113
2022-09-16T00:00:00+05:30,758.1,763.5,730.3,738.7,1726738
2022-09-19T00:00:00+05:30,742.4,759.85,736.4,747.65,1680697
2022-09-20T00:00:00+05:30,749.9,760.0,742.75,744.75,1090725
2022-09-21T00:00:00+05:30,744.9,751.0,733.95,742.1,880815
2022-09-22T00:00:00+05:30,738.0,757.0,732.0,751.9,1201618
2022-09-23T00:00:00+05:30,754.4,755.05,722.55,726.55,1039179
2022-09-26T00:00:00+05:30,722.0,724.9,693.5,698.4,1956052
2022-09-27T00:00:00+05:30,701.9,704.85,674.0,685.6,2966606
2022-09-28T00:00:00+05:30,682.95,694.45,681.6,686.6,1054160
2022-09-29T00:00:00+05:30,690.05,698.25,685.0,695.8,1057787
2022-09-30T00:00:00+05:30,699.0,717.75,690.65,711.65,1607400
2022-10-03T00:00:00+05:30,707.0,711.2,690.0,693.05,668430
2022-10-04T00:00:00+05:30,699.95,716.0,699.95,710.15,966280
2022-10-06T00:00:00+05:30,712.9,719.9,705.55,710.0,1029722
2022-10-07T00:00:00+05:30,712.7,712.7,692.8,698.7,827197
2022-10-10T00:00:00+05:30,685.0,692.85,684.0,689.95,700631
2022-10-11T00:00:00+05:30,695.5,711.8,688.4,691.05,2074615
2022-10-12T00:00:00+05:30,694.55,712.0,692.35,707.7,1828095
2022-10-13T00:00:00+05:30,712.0,720.8,692.4,695.1,1326727
2022-10-14T00:00:00+05:30,714.6,714.6,693.1,696.0,602816
2022-10-17T00:00:00+05:30,697.9,714.65,686.7,712.75,1114349
2022-10-18T00:00:00+05:30,719.95,728.4,707.55,721.4,1463874
2022-10-19T00:00:00+05:30,722.0,778.0,721.4,771.25,6323282
2022-10-20T00:00:00+05:30,769.5,769.5,732.95,744.1,4514381
2022-10-21T00:00:00+05:30,747.85,754.4,737.55,748.2,1411631
2022-10-24T00:00:00+05:30,754.0,754.7,740.15,746.9,170847
2022-10-25T00:00:00+05:30,754.8,764.9,747.0,759.35,2563220
2022-10-27T00:00:00+05:30,763.15,796.0,761.0,790.05,4379519
2022-10-28T00:00:00+05:30,793.45,799.5,782.5,785.6,1580332
2022-10-31T00:00:00+05:30,789.55,810.95,788.0,798.0,2854054
