Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,152.0,154.5,151.6,152.15,1594149
2022-07-06T00:00:00+05:30,152.15,153.4,150.15,150.95,1545814
2022-07-07T00:00:00+05:30,151.8,157.3,151.5,156.45,2390496
2022-07-08T00:00:00+05:30,157.9,162.0,156.45,160.3,1272417
2022-07-11T00:00:00+05:30,160.0,168.65,158.55,168.15,2512313
2022-07-12T00:00:00+05:30,167.7,175.95,166.5,175.1,4471402
2022-07-13T00:00:00+05:30,175.25,179.7,172.8,174.05,3280410
2022-07-14T00:00:00+05:30,175.3,175.3,166.95,169.75,2735782
2022-07-15T00:00:00+05:30,169.65,174.15,169.05,171.7,1805121
2022-07-18T00:00:00+05:30,173.0,174.6,171.05,172.0,2278437
2022-07-19T00:00:00+05:30,172.5,175.0,171.05,174.05,2014031
2022-07-20T00:00:00+05:30,175.5,176.4,173.4,175.1,2692419
2022-07-21T00:00:00+05:30,175.0,179.45,173.4,176.7,2009270
2022-07-22T00:00:00+05:30,177.0,180.5,176.55,178.35,1710913
2022-07-25T00:00:00+05:30,178.35,179.1,173.25,175.85,1338648
2022-07-26T00:00:00+05:30,176.1,176.35,171.2,172.55,641249
2022-07-27T00:00:00+05:30,172.5,176.75,171.55,175.8,724639
2022-07-28T00:00:00+05:30,176.95,182.0,175.8,177.75,1678097
2022-07-29T00:00:00+05:30,178.85,179.4,175.4,176.5,777423
2022-08-01T00:00:00+05:30,176.0,178.75,173.1,177.55,2781005
2022-08-02T00:00:00+05:30,166.0,179.75,166.0,177.05,2366633
2022-08-03T00:00:00+05:30,177.0,179.4,175.8,177.95,1098082
2022-08-04T00:00:00+05:30,178.0,179.65,171.3,175.0,4487198
2022-08-05T00:00:00+05:30,175.0,177.9,173.25,174.55,954890
2022-08-08T00:00:00+05:30,175.1,177.25,173.35,174.05,613741
2022-08-10T00:00:00+05:30,175.0,177.25,173.2,175.0,737793
2022-08-11T00:00:00+05:30,176.0,187.85,176.0,182.15,5338566
2022-08-12T00:00:00+05:30,181.0,183.35,178.6,182.4,1345596
2022-08-16T00:00:00+05:30,183.85,184.15,179.0,180.9,993821
2022-08-17T00:00:00+05:30,181.0,185.8,181.0,183.7,1845149
2022-08-18T00:00:00+05:30,183.0,185.5,181.4,182.55,858901
