Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,31.65,31.95,31.25,31.35,3573077
2022-07-06T00:00:00+05:30,31.4,31.95,30.8,31.8,7086970
2022-07-07T00:00:00+05:30,31.95,32.2,31.9,32.05,5526725
2022-07-08T00:00:00+05:30,32.15,32.75,31.55,32.3,7064894
2022-07-11T00:00:00+05:30,32.25,32.5,31.9,32.2,2687385
2022-07-12T00:00:00+05:30,32.25,33.25,32.15,33.0,7852055
2022-07-13T00:00:00+05:30,33.2,33.75,33.0,33.45,5954312
2022-07-14T00:00:00+05:30,33.7,34.5,33.45,34.2,13600476
2022-07-15T00:00:00+05:30,34.7,34.9,33.65,34.6,11020453
2022-07-18T00:00:00+05:30,34.8,34.8,34.05,34.25,4798136
2022-07-19T00:00:00+05:30,34.0,34.45,33.65,33.75,3551414
2022-07-20T00:00:00+05:30,33.8,34.0,32.9,33.3,5040658
2022-07-21T00:00:00+05:30,33.45,34.15,33.2,33.45,11075040
2022-07-22T00:00:00+05:30,33.45,33.55,32.85,33.2,8055084
2022-07-25T00:00:00+05:30,32.8,33.2,32.75,33.0,8882532
2022-07-26T00:00:00+05:30,33.1,33.3,32.85,33.0,3372906
2022-07-27T00:00:00+05:30,33.05,33.15,32.85,33.0,3617296
2022-07-28T00:00:00+05:30,33.1,34.05,32.8,33.7,8707410
2022-07-29T00:00:00+05:30,33.8,34.75,33.8,34.15,12086060
2022-08-01T00:00:00+05:30,34.5,35.2,33.95,34.7,8161346
2022-08-02T00:00:00+05:30,34.9,35.75,34.65,35.45,12820339
2022-08-03T00:00:00+05:30,35.9,36.5,35.4,35.95,15654254
2022-08-04T00:00:00+05:30,35.95,36.25,35.4,35.65,6032017
2022-08-05T00:00:00+05:30,35.65,36.5,35.0,35.9,34278978
2022-08-08T00:00:00+05:30,35.45,35.95,34.85,35.1,6872887
2022-08-10T00:00:00+05:30,35.1,35.4,33.75,33.95,9320952
2022-08-11T00:00:00+05:30,34.45,34.45,33.75,33.85,3743119
2022-08-12T00:00:00+05:30,33.7,34.45,33.4,34.0,5168337
2022-08-16T00:00:00+05:30,34.2,34.7,33.35,34.5,7651590
2022-08-17T00:00:00+05:30,34.7,35.3,33.75,34.1,10232170
2022-08-18T00:00:00+05:30,34.3,34.8,33.85,34.65,5555765
2022-08-19T00:00:00+05:30,35.5,35.6,34.65,34.9,13334612
2022-08-22T00:00:00+05:30,34.7,34.9,33.85,33.95,5099028
2022-08-23T00:00:00+05:30,33.75,34.6,33.5,34.0,9367131
2022-08-24T00:00:00+05:30,33.9,34.35,33.8,34.0,4266148
2022-08-25T00:00:00+05:30,34.75,35.9,34.55,35.35,19010192
2022-08-26T00:00:00+05:30,35.4,36.0,34.85,35.55,16903996
2022-08-29T00:00:00+05:30,34.5,36.25,34.5,36.1,18410350
2022-08-30T00:00:00+05:30,36.25,39.2,35.7,38.4,52541806
2022-09-01T00:00:00+05:30,38.0,38.9,37.2,37.5,25756507
2022-09-02T00:00:00+05:30,37.8,40.4,37.65,38.85,45599907
2022-09-05T00:00:00+05:30,39.5,39.8,38.6,38.9,18864313
2022-09-06T00:00:00+05:30,39.15,39.2,37.7,37.8,11798216
2022-09-07T00:00:00+05:30,37.8,38.5,37.7,38.05,10496192
2022-09-08T00:00:00+05:30,38.3,38.35,37.55,37.65,10201836
2022-09-09T00:00:00+05:30,37.9,37.9,36.55,36.7,14983024
2022-09-12T00:00:00+05:30,37.0,37.7,36.85,36.95,11267232
2022-09-13T00:00:00+05:30,37.35,38.15,36.8,37.0,18046073
2022-09-14T00:00:00+05:30,36.55,37.85,36.5,37.05,16727191
2022-09-15T00:00:00+05:30,37.4,39.15,36.8,38.7,26289676
2022-09-16T00:00:00+05:30,38.85,39.35,38.0,38.65,21731993
2022-09-19T00:00:00+05:30,39.25,39.6,38.4,38.6,12979564
2022-09-20T00:00:00+05:30,38.8,39.45,38.35,38.5,22632944
2022-09-21T00:00:00+05:30,38.7,39.0,37.7,38.05,16825415
2022-09-22T00:00:00+05:30,38.0,39.55,37.9,39.2,25936614
2022-09-23T00:00:00+05:30,39.5,39.8,37.9,38.5,21513223
2022-09-26T00:00:00+05:30,38.5,38.8,36.55,36.8,16033087
2022-09-27T00:00:00+05:30,37.35,37.35,36.5,36.7,9266304
2022-09-28T00:00:00+05:30,36.5,37.05,36.25,36.55,5741344
2022-09-29T00:00:00+05:30,36.75,36.95,35.5,36.15,10288216
2022-09-30T00:00:00+05:30,36.2,36.45,34.05,35.7,27640160
2022-10-03T00:00:00+05:30,36.1,36.2,35.05,35.5,22756090
2022-10-04T00:00:00+05:30,36.0,38.7,35.95,38.4,20704198
2022-10-06T00:00:00+05:30,38.6,38.7,37.85,37.95,15747342
2022-10-07T00:00:00+05:30,37.9,38.4,37.6,37.9,14045229
2022-10-10T00:00:00+05:30,37.65,38.65,37.4,38.1,10954612
2022-10-11T00:00:00+05:30,38.15,38.2,37.8,37.95,6274842
2022-10-12T00:00:00+05:30,38.05,38.1,37.5,37.5,13581006
