Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,425.0,426.0,414.5,416.1,950953
2022-07-06T00:00:00+05:30,418.45,431.0,412.5,427.9,774676
2022-07-07T00:00:00+05:30,428.8,432.85,426.55,429.4,723159
2022-07-08T00:00:00+05:30,431.25,441.85,427.15,429.55,1251897
2022-07-11T00:00:00+05:30,426.6,438.45,426.55,437.05,548252
2022-07-12T00:00:00+05:30,433.8,435.9,429.6,431.2,328712
2022-07-13T00:00:00+05:30,430.0,432.1,424.0,424.8,651533
2022-07-14T00:00:00+05:30,424.8,426.45,415.0,417.8,542946
2022-07-15T00:00:00+05:30,419.75,423.4,415.0,418.25,633579
2022-07-18T00:00:00+05:30,420.1,425.8,420.1,424.05,807558
2022-07-19T00:00:00+05:30,424.0,427.65,420.1,423.35,483150
2022-07-20T00:00:00+05:30,425.6,433.2,422.5,424.85,1136880
2022-07-21T00:00:00+05:30,426.0,442.0,424.6,437.2,1524991
2022-07-22T00:00:00+05:30,437.0,442.5,432.15,441.35,653140
2022-07-25T00:00:00+05:30,440.55,445.5,438.0,442.7,746173
2022-07-26T00:00:00+05:30,442.0,482.0,440.5,465.8,4349262
2022-07-27T00:00:00+05:30,463.0,475.9,460.85,473.0,1515541
2022-07-28T00:00:00+05:30,475.5,477.8,468.25,474.0,876213
2022-07-29T00:00:00+05:30,474.5,480.3,470.0,472.2,812205
2022-08-01T00:00:00+05:30,472.2,479.0,469.05,472.65,577447
2022-08-02T00:00:00+05:30,472.65,476.3,464.1,470.7,490975
2022-08-03T00:00:00+05:30,472.0,474.0,458.1,465.95,575685
2022-08-04T00:00:00+05:30,465.95,479.15,463.05,470.25,2142821
2022-08-05T00:00:00+05:30,468.6,476.8,468.2,471.6,649303
2022-08-08T00:00:00+05:30,470.0,473.75,465.25,469.55,416284
2022-08-10T00:00:00+05:30,469.0,471.0,461.1,464.75,472235
2022-08-11T00:00:00+05:30,467.0,479.9,466.7,474.6,1254029
2022-08-12T00:00:00+05:30,477.0,486.15,474.05,477.2,1112404
2022-08-16T00:00:00+05:30,482.4,500.95,481.45,486.3,2886881
2022-08-17T00:00:00+05:30,488.4,494.15,480.15,481.45,1026104
2022-08-18T00:00:00+05:30,481.6,488.8,477.6,479.55,687226
2022-08-19T00:00:00+05:30,482.0,493.0,479.9,485.95,2385190
2022-08-22T00:00:00+05:30,488.2,504.9,482.45,500.0,3993831
2022-08-23T00:00:00+05:30,494.9,501.35,484.0,485.85,1849290
2022-08-24T00:00:00+05:30,488.4,515.45,487.25,511.45,4572569
2022-08-25T00:00:00+05:30,518.05,523.45,506.0,509.25,2545031
2022-08-26T00:00:00+05:30,514.4,517.0,505.1,507.05,1032500
2022-08-29T00:00:00+05:30,490.0,507.7,490.0,504.45,661009
2022-08-30T00:00:00+05:30,509.0,510.65,498.0,502.0,1187203
2022-09-01T00:00:00+05:30,498.0,507.9,495.5,501.55,1301027
2022-09-02T00:00:00+05:30,501.9,531.7,501.9,518.65,3171854
2022-09-05T00:00:00+05:30,518.0,522.6,509.65,510.6,758382
2022-09-06T00:00:00+05:30,512.9,517.0,509.3,512.75,728500
2022-09-07T00:00:00+05:30,511.9,516.05,509.05,515.0,572041
2022-09-08T00:00:00+05:30,517.15,519.75,508.95,510.4,602881
2022-09-09T00:00:00+05:30,514.45,514.7,505.9,510.5,530110
2022-09-12T00:00:00+05:30,512.0,522.0,512.0,520.2,838532
2022-09-13T00:00:00+05:30,521.9,538.0,513.05,533.3,2471490
2022-09-14T00:00:00+05:30,522.1,532.8,519.6,526.95,1268455
2022-09-15T00:00:00+05:30,528.1,530.95,518.1,520.35,838331
2022-09-16T00:00:00+05:30,522.4,522.4,502.75,507.25,954764
2022-09-19T00:00:00+05:30,507.3,518.7,503.2,512.55,581901
2022-09-20T00:00:00+05:30,515.0,526.9,515.0,522.3,853701
2022-09-21T00:00:00+05:30,521.5,524.35,506.95,508.75,699426
2022-09-22T00:00:00+05:30,506.8,525.5,505.35,521.55,2229775
2022-09-23T00:00:00+05:30,522.0,523.7,504.15,507.55,659995
2022-09-26T00:00:00+05:30,505.6,505.6,486.0,489.55,653727
2022-09-27T00:00:00+05:30,495.0,501.65,490.95,497.85,649410
2022-09-28T00:00:00+05:30,497.85,503.0,488.85,495.15,796076
2022-09-29T00:00:00+05:30,497.65,504.0,493.7,500.65,589401
2022-09-30T00:00:00+05:30,496.0,517.0,496.0,510.5,1731935
2022-10-03T00:00:00+05:30,511.4,520.0,502.0,504.45,1242354
2022-10-04T00:00:00+05:30,513.0,523.2,510.5,520.65,852324
2022-10-06T00:00:00+05:30,523.3,529.45,522.0,526.8,1008605
2022-10-07T00:00:00+05:30,526.8,542.7,522.3,540.5,1897272
2022-10-10T00:00:00+05:30,532.15,545.7,530.0,534.65,1281185
2022-10-11T00:00:00+05:30,534.0,535.0,519.3,530.9,2467723
2022-10-12T00:00:00+05:30,530.0,540.95,523.1,538.8,1067202
2022-10-13T00:00:00+05:30,538.7,551.0,531.5,537.35,1267968
2022-10-14T00:00:00+05:30,544.9,547.9,534.35,535.95,502941
