Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,12.7,12.85,12.6,12.65,20011968
2022-07-06T00:00:00+05:30,12.65,12.7,12.55,12.65,23304730
2022-07-07T00:00:00+05:30,12.7,12.95,12.7,12.85,27916898
2022-07-08T00:00:00+05:30,12.9,12.95,12.7,12.8,19792617
2022-07-11T00:00:00+05:30,12.75,13.35,12.7,13.15,92442757
2022-07-12T00:00:00+05:30,13.15,13.7,13.1,13.35,92851423
2022-07-13T00:00:00+05:30,13.5,13.6,13.15,13.25,50448827
2022-07-14T00:00:00+05:30,13.35,13.5,13.1,13.3,40934758
2022-07-15T00:00:00+05:30,13.35,13.5,13.1,13.3,58240029
2022-07-18T00:00:00+05:30,13.4,13.5,13.25,13.35,62818790
2022-07-19T00:00:00+05:30,13.35,13.55,13.3,13.5,61974559
2022-07-20T00:00:00+05:30,13.6,13.7,13.55,13.6,41676425
2022-07-21T00:00:00+05:30,13.65,14.5,13.55,14.3,166126277
2022-07-22T00:00:00+05:30,14.5,15.0,14.45,14.7,159313294
2022-07-25T00:00:00+05:30,14.85,14.95,13.9,14.25,161972814
2022-07-26T00:00:00+05:30,14.25,14.35,13.65,13.7,85199180
2022-07-27T00:00:00+05:30,13.75,14.9,13.7,14.7,215263718
2022-07-28T00:00:00+05:30,14.8,15.0,14.35,14.55,121610412
2022-07-29T00:00:00+05:30,14.7,15.3,14.65,14.95,240187270
2022-08-01T00:00:00+05:30,15.8,15.8,14.75,15.25,283726274
2022-08-02T00:00:00+05:30,15.4,17.9,15.2,17.15,984397574
2022-08-03T00:00:00+05:30,17.3,17.5,16.15,16.45,380797982
2022-08-04T00:00:00+05:30,16.6,17.05,16.35,16.65,234456572
2022-08-05T00:00:00+05:30,16.8,16.95,16.6,16.65,111451938
2022-08-08T00:00:00+05:30,16.7,16.75,15.95,16.0,130803804
2022-08-10T00:00:00+05:30,16.0,16.05,15.25,15.4,138903400
2022-08-11T00:00:00+05:30,15.6,15.7,15.25,15.4,110432870
2022-08-12T00:00:00+05:30,15.3,15.45,15.15,15.3,73685483
2022-08-16T00:00:00+05:30,15.3,16.0,15.3,15.9,147771590
2022-08-17T00:00:00+05:30,16.0,16.8,15.95,16.55,237059031
2022-08-18T00:00:00+05:30,16.55,16.8,16.35,16.65,121396054
2022-08-19T00:00:00+05:30,16.65,16.75,16.15,16.55,183948307
2022-08-22T00:00:00+05:30,16.5,16.6,16.25,16.35,65535186
2022-08-23T00:00:00+05:30,16.15,16.85,16.15,16.3,119141603
2022-08-24T00:00:00+05:30,16.35,16.75,16.25,16.6,86731951
2022-08-25T00:00:00+05:30,16.8,16.95,16.45,16.5,94081467
2022-08-26T00:00:00+05:30,16.6,16.7,16.4,16.45,61056365
2022-08-29T00:00:00+05:30,16.1,16.35,15.85,16.2,101283402
2022-08-30T00:00:00+05:30,16.25,16.6,16.25,16.45,79223399
2022-09-01T00:00:00+05:30,16.35,16.6,16.35,16.35,75310944
2022-09-02T00:00:00+05:30,16.45,16.5,16.2,16.2,53295608
2022-09-05T00:00:00+05:30,16.25,17.4,16.2,16.65,144849997
2022-09-06T00:00:00+05:30,16.75,17.2,16.5,16.75,126073649
2022-09-07T00:00:00+05:30,16.6,17.45,16.6,17.3,209092327
2022-09-08T00:00:00+05:30,17.5,18.05,17.4,17.75,268096794
2022-09-09T00:00:00+05:30,17.85,18.2,17.3,17.5,193221914
2022-09-12T00:00:00+05:30,17.7,17.8,17.5,17.55,98407724
2022-09-13T00:00:00+05:30,17.65,17.7,17.3,17.45,118299739
2022-09-14T00:00:00+05:30,17.15,17.5,17.1,17.25,137066871
2022-09-15T00:00:00+05:30,17.4,17.6,17.1,17.15,81101011
2022-09-16T00:00:00+05:30,17.15,17.25,16.65,16.75,127236292
2022-09-19T00:00:00+05:30,16.75,16.8,16.3,16.35,102943898
2022-09-20T00:00:00+05:30,16.45,16.85,16.35,16.4,87571317
2022-09-21T00:00:00+05:30,16.85,17.25,16.65,16.9,171492792
2022-09-22T00:00:00+05:30,16.85,17.15,16.6,16.75,99446681
2022-09-23T00:00:00+05:30,16.75,16.75,16.0,16.2,103978891
2022-09-26T00:00:00+05:30,16.0,16.0,15.35,15.5,97875638
2022-09-27T00:00:00+05:30,15.6,15.9,15.45,15.75,66911381
2022-09-28T00:00:00+05:30,15.6,15.75,15.4,15.45,67355052
2022-09-29T00:00:00+05:30,15.6,15.75,15.4,15.5,45417144
2022-09-30T00:00:00+05:30,15.55,15.85,15.4,15.65,86678752
2022-10-03T00:00:00+05:30,15.65,15.75,15.3,15.4,48301083
2022-10-04T00:00:00+05:30,15.65,16.3,15.6,16.2,112002683
2022-10-06T00:00:00+05:30,16.35,16.85,16.25,16.5,149193207
2022-10-07T00:00:00+05:30,16.75,16.75,16.35,16.55,59594656
2022-10-10T00:00:00+05:30,16.4,16.55,16.2,16.45,51237716
2022-10-11T00:00:00+05:30,16.5,16.6,16.05,16.15,48354573
2022-10-12T00:00:00+05:30,16.25,16.3,15.8,16.0,65655630
2022-10-13T00:00:00+05:30,15.95,16.0,15.6,15.8,38925877
2022-10-14T00:00:00+05:30,16.05,16.15,15.7,15.8,60500837
2022-10-17T00:00:00+05:30,15.7,16.05,15.65,15.75,83274803
2022-10-18T00:00:00+05:30,15.85,15.95,15.7,15.85,45295078
2022-10-19T00:00:00+05:30,15.85,16.05,15.8,15.9,44744988
2022-10-20T00:00:00+05:30,15.85,16.0,15.75,15.95,29357650
2022-10-21T00:00:00+05:30,16.15,16.35,15.9,16.05,62878619
2022-10-24T00:00:00+05:30,16.0,16.0,15.6,15.75,39917159
2022-10-25T00:00:00+05:30,15.7,15.85,15.55,15.6,56881224
2022-10-27T00:00:00+05:30,15.65,16.0,15.5,15.75,111299173
2022-10-28T00:00:00+05:30,15.8,15.8,15.6,15.65,27717765
2022-10-31T00:00:00+05:30,15.75,15.8,15.45,15.55,35570957
2022-11-01T00:00:00+05:30,15.6,15.85,15.25,15.5,111909250
2022-11-02T00:00:00+05:30,15.5,15.7,15.4,15.5,53817899
2022-11-03T00:00:00+05:30,15.5,16.3,15.5,16.1,140542156
2022-11-04T00:00:00+05:30,16.25,16.6,16.15,16.45,97304321
2022-11-07T00:00:00+05:30,16.55,16.75,16.4,16.55,77821386
2022-11-09T00:00:00+05:30,16.55,16.7,16.4,16.55,85258505
2022-11-10T00:00:00+05:30,16.5,16.65,16.25,16.5,71453682
2022-11-11T00:00:00+05:30,16.65,16.95,16.4,16.85,112972051
2022-11-14T00:00:00+05:30,16.85,17.4,16.75,17.1,195815815
2022-11-15T00:00:00+05:30,17.1,17.25,16.9,17.05,79042772
2022-11-16T00:00:00+05:30,17.05,17.35,16.9,17.05,106470242
2022-11-17T00:00:00+05:30,17.0,17.25,16.9,16.95,89802344
2022-11-18T00:00:00+05:30,16.95,17.05,16.7,16.85,47457563
2022-11-21T00:00:00+05:30,16.85,16.95,16.5,16.65,65224018
2022-11-22T00:00:00+05:30,16.65,17.4,16.65,17.05,124116438
2022-11-23T00:00:00+05:30,17.05,17.15,16.8,16.85,49405662
2022-11-24T00:00:00+05:30,16.9,17.0,16.85,16.95,41278182
2022-11-25T00:00:00+05:30,16.95,17.2,16.75,16.95,102979985
2022-11-28T00:00:00+05:30,16.95,17.55,16.9,17.15,154681795
2022-11-29T00:00:00+05:30,17.2,17.3,17.0,17.05,64226938
2022-11-30T00:00:00+05:30,17.1,17.35,16.95,17.15,126117843
2022-12-01T00:00:00+05:30,17.2,17.3,17.0,17.05,49765878
2022-12-02T00:00:00+05:30,17.3,17.9,17.25,17.4,292335993
2022-12-05T00:00:00+05:30,17.6,17.8,17.35,17.45,138629337
2022-12-06T00:00:00+05:30,17.35,17.9,17.3,17.5,157373790
2022-12-07T00:00:00+05:30,17.5,17.65,17.35,17.45,132526546
2022-12-08T00:00:00+05:30,17.5,17.8,17.45,17.75,151503888
2022-12-09T00:00:00+05:30,17.7,20.5,17.65,19.7,1321971059
2022-12-12T00:00:00+05:30,19.95,21.4,19.65,21.1,919562955
2022-12-13T00:00:00+05:30,21.5,24.35,21.45,23.95,1287682141
2022-12-14T00:00:00+05:30,24.05,24.75,21.9,22.1,1225305753
2022-12-15T00:00:00+05:30,22.0,22.9,21.45,22.45,567968820
2022-12-16T00:00:00+05:30,22.2,22.45,21.05,21.2,483509854
2022-12-19T00:00:00+05:30,21.5,22.1,21.25,21.4,333055358
2022-12-20T00:00:00+05:30,21.35,21.5,20.6,21.3,294550876
2022-12-21T00:00:00+05:30,21.45,21.65,19.65,19.85,369638604
2022-12-22T00:00:00+05:30,20.05,20.2,18.85,18.95,387087414
2022-12-23T00:00:00+05:30,18.55,18.9,17.25,17.45,401467323
2022-12-26T00:00:00+05:30,17.6,19.95,17.55,19.6,553240924
2022-12-27T00:00:00+05:30,20.2,20.7,19.6,20.15,525546157
2022-12-28T00:00:00+05:30,20.15,20.7,19.65,20.15,411993069
2022-12-29T00:00:00+05:30,19.9,20.35,19.75,20.15,258614432
2022-12-30T00:00:00+05:30,20.5,20.85,20.3,20.6,290592965
2023-01-02T00:00:00+05:30,20.85,22.1,20.75,21.65,495265210
2023-01-03T00:00:00+05:30,21.9,22.25,21.75,22.05,339801604
2023-01-04T00:00:00+05:30,22.2,22.4,20.9,21.35,395137176
2023-01-05T00:00:00+05:30,21.5,21.7,21.15,21.45,207055994
2023-01-06T00:00:00+05:30,21.6,21.75,20.95,21.1,221378840
2023-01-09T00:00:00+05:30,21.4,21.5,21.05,21.25,133642156
2023-01-10T00:00:00+05:30,21.2,21.2,20.35,20.65,217605501
2023-01-11T00:00:00+05:30,20.65,20.65,20.0,20.05,180768626
2023-01-12T00:00:00+05:30,20.1,20.15,19.65,19.9,206504664
2023-01-13T00:00:00+05:30,19.9,20.3,19.65,20.15,177999521
2023-01-16T00:00:00+05:30,20.45,20.55,20.05,20.15,136916066
2023-01-17T00:00:00+05:30,20.2,20.2,19.95,20.1,78608576
2023-01-18T00:00:00+05:30,20.15,20.45,20.0,20.35,97888455
2023-01-19T00:00:00+05:30,20.25,20.35,20.05,20.15,84048843
2023-01-20T00:00:00+05:30,20.15,20.15,19.65,19.75,132306803
2023-01-23T00:00:00+05:30,17.75,18.6,17.45,18.15,461080397
2023-01-24T00:00:00+05:30,18.2,18.5,18.1,18.2,158031026
2023-01-25T00:00:00+05:30,18.2,18.2,17.55,17.9,169888903
2023-01-27T00:00:00+05:30,18.2,18.2,17.3,17.5,186338397
2023-01-30T00:00:00+05:30,17.5,17.9,17.0,17.1,210890783
2023-01-31T00:00:00+05:30,17.1,17.6,16.75,17.25,172354037
2023-02-01T00:00:00+05:30,17.3,17.55,16.65,16.9,165385637
2023-02-02T00:00:00+05:30,16.85,17.25,16.7,16.85,123967342
2023-02-03T00:00:00+05:30,16.95,17.15,16.15,16.45,156969022
2023-02-06T00:00:00+05:30,16.5,17.0,16.4,16.65,208514829
2023-02-07T00:00:00+05:30,16.7,16.95,16.55,16.85,92270861
