,Date,Open,High,Low,Close,Volume,RSI,ATR,ADX,52-week High,Threshold,Volatility,14-day MA,10-day MA,20-day SMA,50-day SMA,Signal
0,2022-07-05T00:00:00+05:30,529.5,545.0,528.3,533.4,1534805,,16.700000000000045,,,,,,,,,No Signal
1,2022-07-06T00:00:00+05:30,530.7,544.75,529.95,544.0,1503092,,16.564285714285752,,,,,,,,,No Signal
2,2022-07-07T00:00:00+05:30,546.0,551.3,542.7,546.55,705348,,15.995408163265335,100.0,,,,,,,,No Signal
3,2022-07-08T00:00:00+05:30,550.0,553.35,541.1,546.55,540202,,15.727879008746383,100.0,,,,,,,,No Signal
4,2022-07-11T00:00:00+05:30,543.7,549.9,535.75,543.95,1165686,,15.615173365264498,94.07589029719415,,,,,,,,No Signal
5,2022-07-12T00:00:00+05:30,541.1,544.95,534.1,535.25,790069,,15.27480383917418,87.5626866270891,,,,,,,,No Signal
6,2022-07-13T00:00:00+05:30,536.85,561.0,536.85,559.45,2639030,,16.023032136376024,85.39291511880917,,,,,,,,No Signal
7,2022-07-14T00:00:00+05:30,559.45,563.75,546.0,552.7,1449496,,16.146386983777738,83.6641228114441,,,,,,,,No Signal
8,2022-07-15T00:00:00+05:30,550.05,557.8,545.7,548.75,772648,,15.857359342079322,81.93369253356967,,,,,,,,No Signal
9,2022-07-18T00:00:00+05:30,554.0,560.8,546.6,553.4,1164667,,15.738976531930794,80.63041881177475,,,,,546.4,,,No Signal
10,2022-07-19T00:00:00+05:30,548.2,564.45,548.2,556.95,1222660,,15.775478208221452,79.7333190951801,,,,,548.755,,,No Signal
11,2022-07-20T00:00:00+05:30,561.0,562.8,556.3,559.95,800481,,15.112944050491349,78.90029792977077,,,,,550.35,,,No Signal
12,2022-07-21T00:00:00+05:30,558.6,561.7,552.3,554.85,774208,,14.704876618313403,76.52997711286535,,,,,551.1800000000001,,,No Signal
13,2022-07-22T00:00:00+05:30,556.0,562.0,548.05,550.95,593764,61.030798240100594,14.650956859862449,72.95412418232911,,,,549.05,551.62,,,No Signal
14,2022-07-25T00:00:00+05:30,551.7,555.5,541.0,543.85,808782,56.03000577034047,14.640174227015132,67.90903089818502,,,,549.7964285714286,551.61,,,No Signal
15,2022-07-26T00:00:00+05:30,543.1,546.0,524.2,526.15,1333229,40.480000000000004,15.151590353656905,65.29587454849381,,,,548.5214285714286,550.7,,,No Signal
16,2022-07-27T00:00:00+05:30,525.0,543.5,524.95,542.1,1101135,47.9234717685488,15.394333899824266,62.86937222378055,,,,548.2035714285714,548.965,,,No Signal
17,2022-07-28T00:00:00+05:30,544.0,545.9,535.95,543.75,774317,48.713235294117666,15.005452906979672,60.13153576598786,,,,548.0035714285715,548.0699999999999,,,No Signal
18,2022-07-29T00:00:00+05:30,547.0,552.0,539.0,547.0,1192889,51.39333028780262,14.862206270766839,56.48708271690922,,,,548.2214285714286,547.895,,,No Signal
19,2022-08-01T00:00:00+05:30,547.5,560.55,546.1,558.15,1028600,60.23235031277924,14.83276296571206,53.02954571994569,,,1.6012991117921058,549.8571428571429,548.37,547.385,,Buy
20,2022-08-02T00:00:00+05:30,557.0,580.45,547.3,575.2,2208767,57.517899761336494,16.141137039589776,51.67777146896059,,,1.7874682986249866,550.9821428571429,550.195,549.475,,Buy
21,2022-08-03T00:00:00+05:30,570.1,571.55,553.0,557.2,2013808,51.93965517241379,16.573912965333367,50.42255252161729,,,1.8548272309837972,551.3035714285714,549.92,550.135,,Sell
22,2022-08-04T00:00:00+05:30,561.8,572.4,553.85,571.1,1491042,58.872568479555376,16.715062039238124,49.32209044770154,,,1.9785987223512935,552.9,551.5450000000001,551.3625,,Buy
23,2022-08-05T00:00:00+05:30,574.0,586.95,566.5,568.65,2085811,56.16161616161615,16.98184332214969,49.24325174001885,,,2.0874975550331816,553.9892857142858,553.315,552.4675,,Buy
24,2022-08-08T00:00:00+05:30,570.0,576.25,563.05,567.85,852365,54.50413223140494,16.711711656281857,48.64789842722166,,,2.1426899560794226,554.7678571428571,555.7149999999999,553.6625,,Buy
25,2022-08-10T00:00:00+05:30,567.85,575.45,562.0,564.5,837292,51.874742480428495,16.47873225226173,47.93496080403405,,,2.0516248509033765,555.092857142857,559.55,555.125,,Buy
26,2022-08-11T00:00:00+05:30,571.8,577.9,567.25,575.7,1320326,58.179678305217735,16.258822805671603,47.44133707904485,,,2.160686337382566,556.5821428571429,562.9100000000001,555.9375,,Buy
27,2022-08-12T00:00:00+05:30,575.0,604.0,571.15,593.45,6178379,65.03892427459306,17.443906890980777,48.27210694691808,,,2.5212459834449485,559.6178571428571,567.88,557.975,,Buy
28,2022-08-16T00:00:00+05:30,595.1,602.9,582.9,584.0,2162255,63.974939088061234,17.626484970196437,49.04353610994322,,,2.716996722095427,562.4857142857143,571.58,559.7375,,Buy
29,2022-08-17T00:00:00+05:30,588.95,588.95,577.2,579.9,1405047,70.66512879661666,17.206736043753835,48.9425260332621,,,2.8293572600671246,566.325,573.755,561.0625,,Buy
30,2022-08-18T00:00:00+05:30,581.8,586.45,566.1,583.1,2189347,67.47655583972717,17.43125489777142,47.46646652783693,,,2.930921788866805,569.2535714285715,574.545,562.37,,Buy
31,2022-08-19T00:00:00+05:30,583.9,587.0,567.1,569.3,1529059,59.868675164156,17.607593833644888,46.13142507137725,,,3.012174113491134,571.0785714285714,575.755,562.8375,,Buy
32,2022-08-22T00:00:00+05:30,567.0,569.4,550.0,551.75,1143709,51.65217391304348,17.735622845527395,43.15612209659014,,,3.124255477298811,571.4178571428572,573.82,562.6825,,Buy
33,2022-08-23T00:00:00+05:30,548.0,560.6,546.35,559.45,922069,50.46329294369211,17.48664978513258,40.083111066918754,,,3.045349181558279,571.5107142857144,572.9,563.1075,,Buy
34,2022-08-24T00:00:00+05:30,560.4,566.0,557.0,561.35,885964,44.466640031961646,16.880460514765968,37.67271240273312,,,2.927738069357573,570.5214285714286,572.25,563.9825,,Buy
35,2022-08-25T00:00:00+05:30,564.3,564.55,553.5,554.95,1075920,49.00924702774108,16.46399904942554,35.118834235783496,,,2.528434609671712,570.3607142857143,571.295,565.4224999999999,,Buy
36,2022-08-26T00:00:00+05:30,558.0,558.6,548.5,549.85,1006785,39.856801909307904,16.00942768875229,32.91078272786715,,,2.4458425002699875,568.8428571428573,568.71,565.81,,Buy
37,2022-08-29T00:00:00+05:30,535.0,544.0,532.3,539.7,1160231,37.127612272121,16.119468568127132,32.04646468965073,,,2.5613083165612367,566.775,563.335,565.6075000000001,,Sell
