,Date,Open,High,Low,Close,Volume,Volatility,EMA12,EMA26,MACD,Signal Line,H-L,H-PC,L-PC,TR,ATR,Avg_Volume,Signal
0,2022-07-05T00:00:00+05:30,248.35,251.75,248.0,248.6,277978,,248.6,248.6,0.0,0.0,3.75,,,3.75,,,No Signal
1,2022-07-06T00:00:00+05:30,247.9,249.0,242.05,247.05,356748,,248.36153846153846,248.48518518518517,-0.12364672364671492,-0.024729344729342986,6.949999999999989,0.4000000000000057,6.549999999999983,6.949999999999989,,,No Signal
2,2022-07-07T00:00:00+05:30,248.45,257.9,248.45,256.5,589216,,249.61360946745563,249.07887517146776,0.5347342959878745,0.08716338341410051,9.449999999999989,10.849999999999966,1.3999999999999773,10.849999999999966,,,No Signal
3,2022-07-08T00:00:00+05:30,266.7,266.7,261.1,263.05,980999,,251.68074647246246,250.1137733069146,1.5669731655478643,0.3831253398408533,5.599999999999966,10.199999999999989,4.600000000000023,10.199999999999989,,,No Signal
4,2022-07-11T00:00:00+05:30,263.05,271.9,263.05,271.4,761611,,254.7144777843913,251.69053083973574,3.023946944655563,0.9112896608037954,8.849999999999966,8.849999999999966,0.0,8.849999999999966,,,No Signal
5,2022-07-12T00:00:00+05:30,272.85,273.45,266.25,267.75,779193,,256.71994274063877,252.88012114790345,3.839821592735319,1.4969960471901003,7.199999999999989,2.0500000000000114,5.149999999999977,7.199999999999989,,,No Signal
6,2022-07-13T00:00:00+05:30,271.0,273.15,268.5,271.65,780303,,259.01687462669435,254.27048254435505,4.746392082339298,2.14687525421994,4.649999999999977,5.399999999999977,0.75,5.399999999999977,,,No Signal
7,2022-07-14T00:00:00+05:30,284.0,288.0,280.0,283.7,6466717,,262.8142785302798,256.45044680032873,6.363831729951073,2.990266549366167,8.0,16.350000000000023,8.350000000000023,16.350000000000023,,,No Signal
8,2022-07-15T00:00:00+05:30,287.0,287.0,283.25,285.35,1663756,,266.28131260254446,258.59115444474884,7.690158157795622,3.930244871052058,3.75,3.3000000000000114,0.44999999999998863,3.75,,,No Signal
9,2022-07-18T00:00:00+05:30,289.0,294.85,288.65,293.4,1941113,,270.45341835599913,261.1695874488415,9.283830907157608,5.000962078273169,6.2000000000000455,9.5,3.2999999999999545,9.5,,,No Signal
10,2022-07-19T00:00:00+05:30,295.0,299.75,293.5,298.65,2560461,,274.7913539935377,263.94591430448287,10.845439689054842,6.169857600429504,6.25,6.350000000000023,0.10000000000002274,6.350000000000023,,,No Signal
