,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
0,2022-07-05T00:00:00+05:30,421.1,423.05,413.05,413.6,5756605,,,No Signal
1,2022-07-06T00:00:00+05:30,418.6,418.6,413.1,416.05,5261455,,,No Signal
2,2022-07-07T00:00:00+05:30,420.0,423.95,417.2,420.8,5353012,,,No Signal
3,2022-07-08T00:00:00+05:30,424.0,424.7,416.55,419.1,4767716,,,No Signal
4,2022-07-11T00:00:00+05:30,414.75,415.0,405.55,411.2,8344787,,,No Signal
5,2022-07-12T00:00:00+05:30,409.0,414.85,408.0,409.15,4888736,,,No Signal
6,2022-07-13T00:00:00+05:30,412.0,412.0,405.35,406.7,5978390,,,No Signal
7,2022-07-14T00:00:00+05:30,410.6,410.6,400.5,401.45,6580621,,,No Signal
8,2022-07-15T00:00:00+05:30,400.95,404.1,391.0,393.85,11164177,,,No Signal
9,2022-07-18T00:00:00+05:30,399.0,405.7,396.65,404.75,6816197,,,No Signal
10,2022-07-19T00:00:00+05:30,403.0,407.8,401.2,405.65,6448589,,,No Signal
11,2022-07-20T00:00:00+05:30,410.8,417.5,407.1,412.1,12618706,,,No Signal
12,2022-07-21T00:00:00+05:30,408.85,417.5,402.6,414.0,22691171,,,No Signal
13,2022-07-22T00:00:00+05:30,415.75,417.4,409.05,410.85,7734271,,,No Signal
14,2022-07-25T00:00:00+05:30,410.5,415.65,408.55,414.8,6267209,,,No Signal
15,2022-07-26T00:00:00+05:30,414.8,415.4,404.3,405.2,7591895,,,No Signal
16,2022-07-27T00:00:00+05:30,404.95,407.4,401.95,406.65,7041633,,,No Signal
17,2022-07-28T00:00:00+05:30,411.8,417.0,410.9,416.0,7948777,,,No Signal
18,2022-07-29T00:00:00+05:30,420.6,424.3,417.8,423.7,7959007,,,No Signal
19,2022-08-01T00:00:00+05:30,426.2,430.9,422.6,429.0,5181472,411.73,8.097244495570859,No Signal
20,2022-08-02T00:00:00+05:30,428.95,431.65,424.65,429.6,8455827,412.53000000000003,9.028557033394822,No Signal
21,2022-08-03T00:00:00+05:30,429.0,433.0,427.5,432.35,6016068,413.34499999999997,10.041858446155846,No Signal
